 #,Song,Artist,BPM,Camelot,Energy ,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC
34,Confronting Myself,Lena Raine,132,6B,96,2026-01-31,04:09,41,,,Celeste (Original Soundtrack),2018-01-25,49,9,95,59,0,30,-7,A#/B♭,4,3SfX4Be10aUklySaUTK5JE,Radical Dreamland,QZARB1852755
35,King For A Day,"Pierce The Veil, Kellin Quinn",112,2B,97,2025-12-21,03:56,58,"emo, screamo, post-hardcore, pop punk","Rock, Pop, Metal",King For A Day,2012-00-00,42,0,0,45,10,30,-2,F#/G♭,4,4AoMufIqUSgc6I59AYMWl3,Fearless Records,US5261216604
36,The Only,Static-X,105,3B,98,2025-12-21,02:51,64,"industrial metal, nu metal, industrial rock, industrial, rap metal, metal, alternative metal","Metal, Rock, Hip Hop",Shadow Zone,2003-10-07,43,0,0,29,20,10,-3,C♯/D♭,4,35ZmCVnfYRdK1iLGCxNhMa,Warner Records,USWB10301803
37,Around the World (La La La La La),"A Touch Of Class, Pete Konemann",132,8A,98,2026-01-31,03:34,75,"europop, eurodance","Electronic, Pop",Planet Pop,2000-11-06,62,15,0,68,0,10,-7,A minor,4,7CvOnbFdnIoXMQ4eFCo5lB,Sony Music Catalog,DEP810000008
38,Toxicity,System Of A Down,117,4B,87,2025-12-21,03:38,85,"nu metal, metal, alternative metal, rap metal, rock","Metal, Rock, Hip Hop",Toxicity,2001-09-04,41,0,0,48,0,20,-4,G#/A♭,3,0snQkGI5qnAmohLE7jTsTn,American/Columbia,USSM10107262
39,The Emptiness Machine,Linkin Park,184,9B,87,2025-12-21,03:10,78,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop",The Emptiness Machine,2024-09-05,47,2,0,81,0,10,-3,G,4,2PnlsTsOTLE5jnBnNe2K0A,Warner Records,USWB12403464
40,Going Under,Evanescence,175,10A,86,2026-01-31,03:34,80,alternative metal,"Metal, Rock",Fallen,2003-03-04,37,1,0,46,0,20,-5,B minor,4,3UygY7qW2cvG9Llkay6i1i,The Bicycle Music Company,USWU30200108
41,Numb,Linkin Park,110,11A,87,2026-01-30,03:07,88,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop",Meteora,2003-03-25,49,0,0,21,0,40,-4,F#/G♭ minor,4,2nLtzopw4rPReszdYBJU6h,Warner Records,USWB10300474
42,Look at the Sky,Porter Robinson,115,2B,56,2026-01-27,05:09,54,"edm, electronic",Electronic,Nurture,2021-04-23,57,1,0,39,0,0,-8,F#/G♭,4,7LMajLn4v2ZWmLcfE1a7DY,Mom+Pop Music,USQE92000004
43,Ballade pour Adeline - Piano et orchestre,Richard Clayderman,139,8B,38,2025-12-22,02:38,62,easy listening,Easy Listening,Ballade pour Adeline,1977-01-01,51,64,31,25,0,10,-12,C,4,0Ep9uYqDWeVvhhqe124p9E,Union Square Music,FR08F7700090
